id,lat,lng,severity, over
3608,49.8320935861,18.2972218182,2,"Nonylfenol"
3643,49.8617136563,16.9141991744,0,
1379,50.0883150552,12.5003971050,0,
1189,49.1112748582,16.3538764448,2,"Kadmium, Nonylfenol"
XPPOl007,49.4923689190,17.3377014031,0,
XPPOa010,49.8145228783,17.1675363313,0,
1074,50.5042712411,13.4688006161,2,"DDT, o,p'DDT"
1093,50.6476317248,14.0075574377,0,
YPPBd005,49.3436966935,17.1761611875,2,"Zinek, DDT"
3466,50.9663696440,14.2840760810,2,"Měď, Zinek"
ZPPLP005,49.0388103847,17.6947635354,1,
15373,50.4254902751,13.4802342431,3,"DDT"
3617,49.7355321602,18.1561194994,0,
10102,50.5195249747,13.1332747130,0,
1083,50.5099972406,13.6968381947,2,"p,p'DDT, hexachlorbenzen, Nonylfenol"
ZPPDe008,49.2196846462,17.7824835257,3,"Benzen, dichlorbenzen"
ZPTSl001,49.2687985317,17.8070155338,3,"Měď, o,p'DDT"
1772,50.1248780910,12.5538754286,1,
1532,50.1860767115,12.7588319324,0,
YPPVO018,49.4545024856,17.1689485635,1,
10245,50.6736177037,14.1687933338,2,"Měď, Nonylfenol"
SPPPu026,49.3640620801,16.7115047464,0,
5311,49.5113931890,18.4557548197,1,
1530,50.1330089126,12.4646876062,2,"Kadmium"
3537,50.1766999587,12.8768898381,2,"Chrom"
1134,50.3631666633,14.4653423425,0,
1270,49.0174150925,17.0054664719,2,"hexachlorbenzen, Oktylfenol"
KPPTr011,49.5304260898,17.2719927655,0,
1134,50.7750739782,14.2127761955,1,
1112,49.4232588590,15.9868546391,1,
JPTMo002,50.3637618176,17.1662204796,1,
5556,49.8698010114,17.6053998417,0,
5214,49.1482269227,16.6322955197,2,"Chrom, Nikl"
1201,49.1266938170,17.7973872227,3,"Chrom, Chlorbenzen"
ZPPLP017,50.1865875805,12.4916148482,1,
15377,49.7868606851,17.1311834114,3,"DDT, hexachlorbenzen"
3648,50.5053007038,14.2312749739,3,"o,p'DDT, dichlorbenzen"
1275,50.4077523513,14.4426362182,1,
1271,49.6523772593,16.2251995756,0,
SPTVi014,49.5774991629,18.7627452810,2,"Měď"
5409,50.6536004886,14.0030841048,3,"Chrom, Olovo, Benzen"
1096,49.1219579886,17.7283874580,0,
ZPTLu001,49.9209173202,18.3287010055,1,
1163,50.4765917702,13.1454703251,2,"Měď, Bisfenol A"
1149,50.4884491656,13.7067977350,0,
2817_S,50.3631825377,14.4644876651,2,"Měď, DDT, dichlorbenzen"
4571_S,48.8113770582,15.9803095036,1,
DPTZn002,49.7741979340,18.5202335557,1,
5418,49.3443078261,15.7438561050,2,"o,p'DDT"
JPPJi012,50.7058085525,14.8119016859,3,"Benzen"
1055,49.4683304178,18.1744157888,2,"Olovo"
BPPRb007,49.2178738447,17.7816704474,1,
ZPPLt011,50.3452221448,12.7098116240,0,
1574,49.1327766495,17.5025077531,1,
1137,50.6931676117,14.7543819290,0,
3500,49.5828003047,18.1951718415,3,"DDT, Nonylfenol"
5037,49.8614358900,18.3646654223,3,"Nikl"
5553,50.3053938494,12.1270578887,2,"Nonylfenol"
3484,50.0203850865,17.3073175921,1,
5548,50.2990100491,17.7437929473,2,"Nonylfenol"
5581,50.1620712526,17.1987061528,3,"Nikl"
5506,49.6738839935,16.4778004726,2,"Měď, Nikl"
SPPSi008,49.7886479707,18.4143871577,0,
5333,48.7268080735,16.8834520710,0,
0402,50.6128818084,13.8871412551,2,"hexachlorbenzen"
1124,49.3306166713,17.5281030002,2,"Kadmium, p,p'DDT"
YPPRu012,50.3204549389,13.3507693915,0,
1472,50.2343085394,12.8479007469,1,
1112,49.1300839724,16.8415453979,0,
SPPRk012,49.1370267926,17.7346053926,3,"Chrom, o,p'DDT"
ZPTLu002,49.8251896932,17.1149761100,2,"o,p'DDT, Chlorbenzen"
XPPOB024,49.5928375081,16.2495016786,1,
SPTVi003,50.5885674505,13.8150092129,3,"p,p'DDT, Benzen"
1089,50.5016030100,13.3051126874,0,
1173,49.0866260991,16.3799831612,2,"Benzen"
1190,48.9040365923,15.6920435157,1,
1205,48.9508396286,16.6195261973,2,"Nikl, Zinek, Benzen"
1181,50.3048461593,12.9716573865,0,
1114,50.4812029237,13.4194121031,1,
1283,49.9314439262,18.3527261080,3,"o,p'DDT"
5034,49.9233882116,18.3407790190,3,"Rtut, Olovo, Chlorbenzen"
5033,49.1415421537,15.4449823263,3,"Zinek, dichlorbenzen"
DPPMy001,49.7405347968,18.2929876404,0,
3801,50.6584157596,14.0424474946,0,
1123,49.9031008878,18.5088556664,0,
5539,49.6391996717,16.2250429600,0,
SPPFs018,49.8677238313,18.2775971699,1,
3620,49.2094136526,17.5194699552,3,"Rtut, DDT"
1174,49.7829064523,16.9549830097,2,"p,p'DDT, o,p'DDT, dichlorbenzen"
XPPMi003,50.4076995023,14.0707047723,1,
1108,50.6960863105,14.7986192368,1,
1057,50.5028937832,13.3283639287,2,"p,p'DDT"
1167,49.6628054234,18.3057490470,2,"Oktylfenol, Nonylfenol"
5326,50.3470274876,12.4866230043,3,"Zinek"
3464,49.0198724130,15.2464195859,2,"Nikl"
DPTLa002,49.6989029409,18.4651872888,1,
3623,50.3531285589,13.4210655183,0,
1465,49.2097449513,15.9931127571,1,
1202,49.7357864840,18.1663350034,2,"DDT, hexachlorbenzen, Benzen"
1165,48.9176319272,16.8533126066,0,
3763,50.2281400661,12.8455912448,3,"Bisfenol A, Chlorbenzen"
1100,49.5152222167,18.4150773605,1,
3602,49.1041165658,18.0280284481,2,"Rtut, Olovo"
VPPBu003,49.2779719002,16.4417501187,2,"o,p'DDT"
SPPSv014,49.8740074732,17.6000339927,0,
1147,50.6782438224,13.9387037226,3,"Kadmium, Zinek, dichlorbenzen"
15387,49.1802682527,16.3881885184,1,
SPPBv024,50.7102906616,14.8624966687,0,
3498,49.3921513370,16.0136419078,3,"o,p'DDT, Oktylfenol"
JPTMo001,50.5444637335,13.6175397828,1,
1080,49.3449714535,16.6501758410,2,"Zinek, DDT, Nonylfenol"
SPPSi035,50.8884826495,14.6512253828,3,"Rtut, dichlorbenzen"
1306,49.4688309877,17.0413878296,0,
YPNHL025,50.5499390576,13.2169670943,3,"Nonylfenol"
3457,50.7538057587,14.6652567425,1,
15388,50.3750291620,12.9894204883,1,
1524,48.6874533147,16.9906009025,3,"Chrom, Měď, DDT"
0401,50.7263072177,13.7089468037,1,
3462,49.9067134441,18.4807959394,1,
5526,49.7562675895,16.9774534286,1,
1132,49.4571712062,16.3378052211,2,"p,p'DDT"
SPPNe005,50.1996819333,12.8663697094,2,"Měď, Rtut, Zinek"
1136,49.9237019538,17.4523284722,3,"Chrom"
5203,49.3033176621,17.4788104236,1,
YPPRu007,50.9048396155,14.6541910192,0,
3538,50.0046376730,16.7497886025,3,"Chrom, p,p'DDT"
XPPBr022,50.3040262322,17.3345708834,1,
5559,50.3414723252,12.8744614546,1,
1525,49.4625979677,17.0158574781,2,"DDT, Benzen, dichlorbenzen"
YPNHL026,49.0504619424,17.8465555317,3,"o,p'DDT, dichlorbenzen"
ZPTBj001,50.2331898675,17.2042685849,1,
5509,50.5046907346,13.4243930754,1,
1176,50.5197533967,13.4084968111,0,
1179,49.9811772940,18.2082679557,1,
5555,49.6144588977,18.4835458357,3,"o,p'DDT, Oktylfenol, Nonylfenol"
5323,49.6889023854,17.8018189884,3,"o,p'DDT, hexachlorbenzen, Chlorbenzen"
3619,49.0827254997,16.4119889593,0,
1187,50.3698558214,13.1141359505,0,
1102,49.1451224707,16.6296989755,0,
SPPSv030,50.5284457376,13.5551966205,3,"Nonylfenol, Bisfenol A"
1119,50.5455437061,13.6099972493,2,"Olovo, Bisfenol A, Benzen"
8010,50.6338006793,14.7514504013,2,"Měď, p,p'DDT"
1059,49.1635555798,15.5505980098,2,"Bisfenol A"
DPTNr002,50.0832220763,12.2507084370,2,"DDT"
3473,49.3930477712,15.4965182218,3,"Rtut, o,p'DDT, Bisfenol A"
JPTHu003,50.6988893827,14.9046765947,0,
1051,49.8885500464,16.9241753036,1,
3952,50.6326111508,14.7162318150,0,
4119_S,49.2622654928,17.6954608036,1,
ZPTFr001,50.1261005685,12.4448655714,2,"Chrom, Rtut, Olovo"
1531,49.4197638983,17.9658058947,1,
BPPBs006,49.9467240367,18.3405044054,1,
5407,49.4748873011,18.0091076317,0,
1173,50.1216114396,12.5179297138,1,
2586_S,50.3330336913,13.5143915694,0,
4115_S,48.8658422002,17.5413379151,2,"Kadmium, Rtut, Nikl"
ZPPVK023,49.0184130672,17.3919505227,3,"Kadmium, Zinek, DDT"
1138,50.3790543560,13.2568460397,1,
1657,49.5866759913,18.5310504185,2,"Nikl, Zinek, Oktylfenol"
5576,50.4789993065,13.6950422143,0,
1413,50.5024918321,13.3283459584,3,"Zinek, Benzen, dichlorbenzen"
1168,50.6717843251,13.5867492161,1,
1194,49.3315054727,17.3402103702,3,"Nonylfenol"
1169,50.0173803071,12.3829484743,1,
3967,50.3004711812,12.1165251407,3,"Měď, Benzen"
3483,50.1336709869,12.5384322638,0,
15378,49.0366205104,16.1193149012,2,"DDT, Chlorbenzen"
3735,49.3150112879,15.4103525535,3,"Oktylfenol"
3719,50.6580632166,14.0320838689,3,"Rtut, Chlorbenzen"
10187,50.3055925470,12.1929704289,1,
15384,50.3412583197,17.2031682921,2,"Měď"
5558,50.6860512718,13.6171277986,1,
1191,50.7051523523,13.9508749665,3,"Nikl, Olovo, p,p'DDT"
15386,49.2003047797,16.1504131810,1,
1203,48.8575117164,16.7274084652,3,"p,p'DDT, Bisfenol A"
KPPDy005,49.9253686904,17.4523290921,1,
5210,50.4287775250,16.9589774263,1,
5591,49.3640560618,15.5931791928,1,
JPPJh004,50.1341987016,16.9556575839,1,
XPPKa015,49.5683476855,18.3626932477,0,
5315,49.7372522774,18.4418856531,0,
5577,49.5894751979,18.0245944528,2,"p,p'DDT, Oktylfenol"
5009,49.0627870518,17.4247614626,1,
ZPPMA015,49.0587140798,17.8649490131,0,
ZPTBj002,49.9172853427,18.1296400786,1,
5550,49.5631795344,16.3106473503,1,
SPTVi001,49.9408931071,18.2738281828,2,"DDT"
5522,49.4675004283,18.4346367112,2,"Zinek, Bisfenol A"
